Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,_Matches,Season,Squad
Adam Webster,eng ENG,DF,28-074,16.6,1266,1209,56,22,0,6,2,34,0,0,0,0,1109,1,7,Matches,2022-2023,Brighton & Hove Albion
Leandro Trossard,be BEL,"FW,MF",28-105,14.6,529,498,28,3,9,8,35,19,0,0,0,0,379,3,20,Matches,2022-2023,Brighton & Hove Albion
Danny Welbeck,eng ENG,FW,32-113,14.0,253,244,7,0,4,0,0,0,0,0,0,0,211,2,3,Matches,2022-2023,Brighton & Hove Albion
Kaoru Mitoma,jp JPN,"FW,MF",25-303,14.1,602,584,13,0,3,2,24,11,2,0,0,0,487,5,16,Matches,2022-2023,Brighton & Hove Albion
Adam Lallana,eng ENG,"MF,FW",34-313,8.0,317,304,11,2,0,0,3,2,1,0,0,0,262,2,5,Matches,2022-2023,Brighton & Hove Albion
Levi Colwill,eng ENG,DF,20-021,6.1,517,488,27,13,1,1,0,10,0,0,0,0,462,2,2,Matches,2022-2023,Brighton & Hove Albion
Evan Ferguson,ie IRL,FW,18-151,5.2,117,108,8,0,1,0,0,0,0,0,0,0,95,1,1,Matches,2022-2023,Brighton & Hove Albion
Tariq Lamptey,gh GHA,DF,22-170,5.0,302,258,44,5,1,1,31,39,0,0,0,0,239,0,6,Matches,2022-2023,Brighton & Hove Albion
Jason Steele,eng ENG,GK,32-213,3.0,109,99,10,2,0,1,0,0,0,0,0,0,97,0,0,Matches,2022-2023,Brighton & Hove Albion
Deniz Undav,de GER,"FW,MF",26-243,2.8,63,61,2,0,1,0,1,0,0,0,0,0,51,0,1,Matches,2022-2023,Brighton & Hove Albion
Enock Mwepu,zm ZAM,"FW,MF",25-077,2.4,78,76,2,0,0,1,3,0,0,0,0,0,61,0,3,Matches,2022-2023,Brighton & Hove Albion
Billy Gilmour,sct SCO,MF,21-281,1.8,154,153,0,0,0,1,0,0,0,0,0,0,142,1,0,Matches,2022-2023,Brighton & Hove Albion
Jeremy Sarmiento,ec ECU,MF,20-276,2.0,67,67,0,0,0,0,3,0,0,0,0,0,53,0,1,Matches,2022-2023,Brighton & Hove Albion
Jan Paul van Hecke,nl NED,DF,22-284,0.9,99,98,1,0,0,0,0,1,0,0,0,0,95,0,1,Matches,2022-2023,Brighton & Hove Albion
Julio César Enciso,py PAR,"FW,MF",19-055,1.7,37,36,1,0,0,0,1,0,0,0,0,0,27,0,0,Matches,2022-2023,Brighton & Hove Albion
Facundo Buonanotte,ar ARG,"FW,MF",18-086,0.6,23,22,1,0,0,0,0,1,0,0,0,0,20,0,0,Matches,2022-2023,Brighton & Hove Albion
Andrew Moran,ie IRL,FW,19-155,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches,2022-2023,Brighton & Hove Albion
Squad Total,,,27.4,25.0,15044,13851,1147,285,48,102,477,496,152,70,61,2,12540,46,253,,2022-2023,Brighton & Hove Albion
Opponent Total,,,27.3,25.0,10370,9238,1102,297,22,57,301,430,92,33,43,2,8041,30,207,,2022-2023,Brighton & Hove Albion
David Raya,es ESP,GK,27-185,27.0,1152,826,323,127,0,13,0,1,0,0,0,0,753,3,1,Matches,2022-2023,Brentford
Bryan Mbeumo,cm CMR,FW,23-224,23.2,693,599,91,26,4,6,106,15,49,25,9,4,467,3,27,Matches,2022-2023,Brentford
Mathias Jensen,dk DEN,MF,27-077,23.0,1152,857,292,62,5,21,119,128,62,28,17,5,792,3,22,Matches,2022-2023,Brentford
Rico Henry,eng ENG,DF,25-254,25.7,852,739,109,1,4,2,61,108,0,0,0,0,606,4,15,Matches,2022-2023,Brentford
Ben Mee,eng ENG,DF,33-179,25.4,1287,1182,99,31,0,8,6,67,0,0,0,0,968,6,13,Matches,2022-2023,Brentford
Ivan Toney,eng ENG,FW,27-003,24.9,632,607,22,4,10,2,25,7,1,0,0,0,369,3,27,Matches,2022-2023,Brentford
Ethan Pinnock,jm JAM,DF,29-294,19.0,729,681,44,10,0,2,5,34,0,0,0,0,558,4,3,Matches,2022-2023,Brentford
Vitaly Janelt,de GER,"MF,DF",24-313,17.6,723,692,27,11,3,11,17,15,1,1,0,0,563,4,14,Matches,2022-2023,Brentford
Christian Nørgaard,dk DEN,MF,29-009,15.4,670,652,13,7,2,5,10,2,0,0,0,0,499,5,10,Matches,2022-2023,Brentford
Aaron Hickey,sct SCO,DF,20-282,12.8,510,450,60,7,0,1,20,53,0,0,0,0,420,0,10,Matches,2022-2023,Brentford
Yoane Wissa,cd COD,FW,26-197,13.1,260,252,5,1,4,1,12,1,0,0,0,0,179,3,13,Matches,2022-2023,Brentford
Josh Dasilva,eng ENG,MF,24-147,12.5,497,475,21,7,1,0,26,10,4,3,0,0,403,1,15,Matches,2022-2023,Brentford
Mads Roerslev,dk DEN,DF,23-268,10.4,257,240,17,1,2,0,18,16,0,0,0,0,166,0,17,Matches,2022-2023,Brentford
Kristoffer Ajer,no NOR,DF,24-336,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8,Matches,2022-2023,Brentford
Mathias Jørgensen,dk DEN,DF,32-330,8.3,339,301,37,5,0,0,1,28,0,0,0,0,272,1,0,Matches,2022-2023,Brentford
Pontus Jansson,se SWE,DF,32-034,5.9,244,239,5,5,1,0,0,0,0,0,0,0,196,0,2,Matches,2022-2023,Brentford
Mikkel Damsgaard,dk DEN,"MF,FW",22-259,5.8,238,223,11,8,4,1,15,1,1,1,0,0,160,4,8,Matches,2022-2023,Brentford
Frank Onyeka,ng NGA,MF,25-077,5.6,160,159,1,0,0,1,1,1,0,0,0,0,118,0,5,Matches,2022-2023,Brentford
Shandon Baptiste,gd GRN,MF,24-345,5.0,208,204,2,1,2,0,6,1,0,0,0,0,173,2,4,Matches,2022-2023,Brentford
Keane Lewis-Potter,eng ENG,"FW,MF",22-025,3.6,86,83,3,0,1,1,8,2,0,0,0,0,49,0,3,Matches,2022-2023,Brentford
Kevin Schade,de GER,"FW,MF",21-112,2.1,54,54,0,0,0,0,3,0,0,0,0,0,30,0,5,Matches,2022-2023,Brentford
Saman Ghoddos,ir IRN,"MF,FW",29-194,1.0,52,46,6,1,1,0,4,1,3,0,3,0,38,0,1,Matches,2022-2023,Brentford
Sergi Canós,es ESP,"FW,DF",26-045,0.9,43,39,3,1,0,0,3,2,0,0,0,0,23,1,0,Matches,2022-2023,Brentford
Mads Bech Sørensen,dk DEN,"DF,MF",24-071,0.2,11,7,4,0,0,0,0,4,0,0,0,0,7,0,0,Matches,2022-2023,Brentford
Halil Dervişoğlu,tr TUR,MF,23-101,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2022-2023,Brentford
Squad Total,,,26.8,27.0,11194,9900,1246,323,44,79,472,541,121,58,29,9,8068,48,223,,2022-2023,Brentford
Opponent Total,,,27.2,27.0,14130,12859,1225,276,34,66,572,529,145,75,49,5,11126,46,239,,2022-2023,Brentford
Tim Ream,us USA,DF,35-165,27.0,1564,1514,47,29,0,21,4,9,0,0,0,0,1351,3,5,Matches,2022-2023,Fulham
Andreas Pereira,br BRA,MF,27-077,24.9,881,683,189,68,0,15,164,5,94,42,40,0,573,9,35,Matches,2022-2023,Fulham
Harrison Reed,eng ENG,MF,28-051,23.7,922,875,43,11,0,2,39,4,2,1,1,0,705,4,31,Matches,2022-2023,Fulham
Bernd Leno,de GER,GK,31-015,25.0,942,677,263,83,0,2,0,0,0,0,0,0,736,2,0,Matches,2022-2023,Fulham
Bobby Reid,jm JAM,"FW,DF",30-045,22.9,778,700,74,6,0,2,50,68,0,0,0,0,544,4,32,Matches,2022-2023,Fulham
João Palhinha,pt POR,MF,27-253,23.7,829,804,23,17,0,24,2,0,0,0,0,0,672,2,11,Matches,2022-2023,Fulham
Antonee Robinson,us USA,DF,25-223,23.3,1248,1021,227,15,0,3,89,212,0,0,0,0,912,0,34,Matches,2022-2023,Fulham
Aleksandar Mitrović,rs SRB,FW,28-184,20.1,449,443,6,0,4,9,4,3,0,0,0,0,270,0,21,Matches,2022-2023,Fulham
Kenny Tete,nl NED,DF,27-161,19.6,1060,800,253,23,1,7,67,230,0,0,0,0,772,7,31,Matches,2022-2023,Fulham
Willian,br BRA,FW,34-222,16.2,575,553,21,3,3,9,30,3,15,3,4,0,449,1,13,Matches,2022-2023,Fulham
Issa Diop,fr FRA,DF,26-069,15.7,958,924,33,31,0,8,2,0,0,0,0,0,817,1,4,Matches,2022-2023,Fulham
Tosin Adarabioyo,eng ENG,DF,25-176,13.2,652,621,27,22,0,6,2,4,0,0,0,0,526,4,8,Matches,2022-2023,Fulham
Neeskens Kebano,cd COD,FW,31-009,7.9,188,186,2,0,0,1,20,0,2,0,0,0,139,0,15,Matches,2022-2023,Fulham
Carlos Vinícius,br BRA,FW,27-359,6.2,105,102,2,0,1,0,4,0,0,0,0,0,59,1,10,Matches,2022-2023,Fulham
Harry Wilson,wls WAL,FW,25-362,5.0,184,173,11,2,0,0,12,4,4,1,1,0,138,0,9,Matches,2022-2023,Fulham
Daniel James,wls WAL,FW,25-129,4.2,123,119,4,0,0,0,16,4,0,0,0,0,79,0,11,Matches,2022-2023,Fulham
Manor Solomon,il ISR,FW,23-238,3.1,102,99,3,1,0,0,2,2,0,0,0,0,86,0,0,Matches,2022-2023,Fulham
Saša Lukić,rs SRB,MF,26-218,2.3,132,127,5,5,0,0,1,0,0,0,0,0,120,0,0,Matches,2022-2023,Fulham
Marek Rodák,sk SVK,GK,26-096,2.0,61,38,23,8,0,0,0,0,0,0,0,0,29,0,0,Matches,2022-2023,Fulham
Layvin Kurzawa,fr FRA,DF,30-196,1.5,41,29,12,0,0,0,2,12,0,0,0,0,28,0,2,Matches,2022-2023,Fulham
Tom Cairney,sct SCO,MF,32-058,5.2,400,385,15,2,2,3,18,4,6,2,2,0,342,0,4,Matches,2022-2023,Fulham
Kevin Mbabu,ch SUI,"DF,FW",27-334,1.6,94,71,23,0,0,1,7,23,0,0,0,0,68,0,2,Matches,2022-2023,Fulham
Jay Stansfield,eng ENG,FW,20-115,1.0,23,23,0,0,0,0,3,0,0,0,0,0,9,0,3,Matches,2022-2023,Fulham
Nathaniel Chalobah,eng ENG,MF,28-097,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,2022-2023,Fulham
Josh Onomah,eng ENG,MF,25-326,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches,2022-2023,Fulham
Luke Harris,wls WAL,"MF,FW",17-350,0.1,14,14,0,0,0,0,1,0,0,0,0,0,13,0,0,Matches,2022-2023,Fulham
Cédric Soares,pt POR,DF,31-200,0.1,14,10,3,0,0,0,2,3,0,0,0,0,8,1,0,Matches,2022-2023,Fulham
Shane Duffy,ie IRL,"FW,DF",31-077,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,2022-2023,Fulham
Tyrese Francois,au AUS,FW,22-246,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,2022-2023,Fulham
Squad Total,,,29.0,27.0,12356,11008,1309,326,11,113,541,590,123,49,48,0,9457,39,282,,2022-2023,Fulham
Opponent Total,,,27.3,27.0,13952,12653,1232,307,57,102,443,538,149,64,52,1,11054,67,263,,2022-2023,Fulham
Kai Havertz,de GER,"FW,MF",23-281,22.0,666,636,28,4,2,3,10,8,0,0,0,0,539,2,17,Matches,2022-2023,Chelsea
Thiago Silva,br BRA,DF,38-178,20.1,1619,1561,51,46,0,13,1,2,0,0,0,0,1462,7,8,Matches,2022-2023,Chelsea
Mason Mount,eng ENG,"MF,FW",24-068,18.1,769,697,68,17,6,8,64,5,34,11,19,1,579,4,23,Matches,2022-2023,Chelsea
Kepa Arrizabalaga,es ESP,GK,28-167,18.5,680,509,171,43,0,1,0,0,0,0,0,0,578,0,0,Matches,2022-2023,Chelsea
Marc Cucurella,es ESP,DF,24-240,15.9,1124,955,162,21,0,1,41,128,13,8,3,0,942,7,23,Matches,2022-2023,Chelsea
Kalidou Koulibaly,sn SEN,DF,31-272,16.9,1253,1208,42,30,0,14,4,12,0,0,0,0,1084,3,10,Matches,2022-2023,Chelsea
Raheem Sterling,eng ENG,"FW,MF",28-101,14.9,489,471,16,0,5,0,34,4,7,7,0,0,363,2,18,Matches,2022-2023,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-055,14.0,728,684,39,10,1,6,12,29,0,0,0,0,619,5,18,Matches,2022-2023,Chelsea
Jorginho,it ITA,MF,31-089,14.2,884,853,28,27,2,3,2,1,0,0,0,0,749,3,11,Matches,2022-2023,Chelsea
Mateo Kovačić,hr CRO,MF,28-317,13.0,912,892,20,17,6,9,2,3,0,0,0,0,775,0,15,Matches,2022-2023,Chelsea
César Azpilicueta,es ESP,DF,33-203,12.3,818,679,136,27,0,0,18,109,0,0,0,0,661,3,11,Matches,2022-2023,Chelsea
Trevoh Chalobah,eng ENG,DF,23-257,11.2,686,649,36,12,0,4,3,24,0,0,0,0,607,1,8,Matches,2022-2023,Chelsea
Reece James,eng ENG,"DF,MF",23-101,10.4,782,667,112,19,0,3,59,80,13,9,1,0,671,3,12,Matches,2022-2023,Chelsea
Conor Gallagher,eng ENG,"MF,FW",23-041,10.5,546,504,40,7,1,4,39,8,21,9,7,0,431,2,19,Matches,2022-2023,Chelsea
Ben Chilwell,eng ENG,"DF,MF",26-088,9.7,641,508,128,15,2,4,55,83,30,15,9,0,494,5,13,Matches,2022-2023,Chelsea
Edouard Mendy,sn SEN,GK,31-018,8.5,268,206,62,6,0,1,0,0,0,0,0,0,213,0,0,Matches,2022-2023,Chelsea
Christian Pulisic,us USA,"FW,DF",24-182,7.7,263,259,2,0,0,0,13,2,0,0,0,0,208,2,7,Matches,2022-2023,Chelsea
Benoît Badiashile,fr FRA,DF,21-358,7.1,594,581,12,10,1,6,1,2,0,0,0,0,537,1,0,Matches,2022-2023,Chelsea
Enzo Fernández,ar ARG,MF,22-061,6.9,597,578,17,16,4,10,4,1,0,0,0,0,523,2,9,Matches,2022-2023,Chelsea
João Félix,pt POR,"FW,MF",23-129,5.7,212,183,27,4,2,1,17,3,12,2,9,0,164,2,7,Matches,2022-2023,Chelsea
Hakim Ziyech,ma MAR,"FW,MF",30-000,6.4,329,293,32,8,4,3,55,6,17,10,4,1,210,4,11,Matches,2022-2023,Chelsea
Wesley Fofana,fr FRA,DF,22-092,6.2,445,433,11,7,0,2,1,4,0,0,0,0,392,1,4,Matches,2022-2023,Chelsea
Pierre-Emerick Aubameyang,ga GAB,FW,33-274,4.9,86,82,4,0,0,0,3,0,0,0,0,0,61,0,4,Matches,2022-2023,Chelsea
Denis Zakaria,ch SUI,MF,26-119,3.8,167,165,2,2,1,1,1,0,0,0,0,0,149,0,4,Matches,2022-2023,Chelsea
Lewis Hall,eng ENG,"DF,MF",18-192,3.4,195,175,20,3,0,3,9,15,2,2,0,0,147,0,6,Matches,2022-2023,Chelsea
Mykhailo Mudryk,ua UKR,FW,22-073,2.9,90,81,8,0,1,0,6,5,1,1,0,0,64,1,1,Matches,2022-2023,Chelsea
Armando Broja,al ALB,FW,21-190,3.3,53,51,2,0,0,1,0,0,0,0,0,0,33,0,0,Matches,2022-2023,Chelsea
Noni Madueke,eng ENG,FW,21-009,2.0,78,76,2,0,0,0,4,1,1,1,0,0,61,0,0,Matches,2022-2023,Chelsea
N'Golo Kanté,fr FRA,MF,31-355,1.9,129,128,0,0,0,0,3,0,0,0,0,0,107,1,4,Matches,2022-2023,Chelsea
Carney Chukwuemeka,eng ENG,"MF,FW",19-150,2.6,117,116,1,0,0,0,3,0,0,0,0,0,98,0,4,Matches,2022-2023,Chelsea
Datro Fofana,ci CIV,FW,20-087,0.7,6,6,0,0,1,0,1,0,0,0,0,0,4,0,0,Matches,2022-2023,Chelsea
Omari Hutchinson,eng ENG,FW,19-140,0.3,12,12,0,0,0,0,2,0,0,0,0,0,8,0,1,Matches,2022-2023,Chelsea
Squad Total,,,27.3,27.0,16238,14898,1279,351,39,101,467,535,151,75,52,2,13533,61,268,,2022-2023,Chelsea
Opponent Total,,,27.3,27.0,11384,10078,1271,340,23,65,457,547,127,72,23,1,8707,35,291,,2022-2023,Chelsea
Ezri Konsa,eng ENG,DF,25-147,25.9,1324,1266,54,35,1,3,4,14,0,0,0,0,1155,4,12,Matches,2022-2023,Aston Villa
Emiliano Martínez,ar ARG,GK,30-198,24.4,921,688,229,73,1,4,0,0,0,0,0,0,693,4,1,Matches,2022-2023,Aston Villa
Ollie Watkins,eng ENG,FW,27-079,23.8,416,407,7,0,0,1,7,2,0,0,0,0,290,2,7,Matches,2022-2023,Aston Villa
Tyrone Mings,eng ENG,DF,30-006,24.0,1289,1240,46,37,1,11,2,6,0,0,0,0,1096,3,6,Matches,2022-2023,Aston Villa
Douglas Luiz,br BRA,MF,24-314,21.7,1252,1115,135,74,3,9,71,4,56,29,13,1,1046,2,9,Matches,2022-2023,Aston Villa
Leon Bailey,jm JAM,"FW,MF",25-222,17.9,453,420,33,4,3,5,82,6,15,12,0,0,282,0,24,Matches,2022-2023,Aston Villa
Jacob Ramsey,eng ENG,"MF,FW",21-295,18.6,644,638,2,2,0,1,9,0,0,0,0,0,531,4,16,Matches,2022-2023,Aston Villa
John McGinn,sct SCO,MF,28-152,18.9,695,661,28,14,5,10,31,1,11,8,0,0,536,6,14,Matches,2022-2023,Aston Villa
Matty Cash,pl POL,DF,25-224,18.2,940,768,169,14,2,6,46,155,0,0,0,0,734,3,21,Matches,2022-2023,Aston Villa
Emi Buendía,ar ARG,"MF,FW",26-084,18.1,734,684,48,6,6,5,16,6,5,2,0,1,583,2,27,Matches,2022-2023,Aston Villa
Boubacar Kamara,fr FRA,MF,23-116,16.9,868,838,30,28,2,8,1,0,0,0,0,0,737,0,20,Matches,2022-2023,Aston Villa
Lucas Digne,fr FRA,DF,29-242,14.3,810,656,153,21,0,4,63,123,9,4,3,0,617,1,18,Matches,2022-2023,Aston Villa
Ashley Young,eng ENG,DF,37-253,14.2,770,608,156,31,2,9,27,120,5,2,0,2,573,6,19,Matches,2022-2023,Aston Villa
Danny Ings,eng ENG,FW,30-239,9.2,162,152,10,0,4,0,4,0,0,0,0,0,114,0,6,Matches,2022-2023,Aston Villa
Philippe Coutinho,br BRA,"MF,FW",30-280,8.8,384,352,30,13,5,1,19,5,6,3,1,0,288,2,7,Matches,2022-2023,Aston Villa
Álex Moreno,es ESP,DF,29-284,6.4,345,282,62,12,0,0,19,50,0,0,0,0,259,1,16,Matches,2022-2023,Aston Villa
Leander Dendoncker,be BEL,MF,27-338,4.1,155,151,4,3,0,0,2,1,0,0,0,0,135,0,4,Matches,2022-2023,Aston Villa
Calum Chambers,eng ENG,"DF,MF",28-058,2.6,151,144,4,2,0,1,0,2,0,0,0,0,121,3,1,Matches,2022-2023,Aston Villa
Robin Olsen,se SWE,GK,33-070,2.6,111,79,32,8,0,1,0,0,0,0,0,0,65,0,0,Matches,2022-2023,Aston Villa
Diego Carlos,br BRA,DF,30-004,2.0,128,123,4,3,0,0,1,1,0,0,0,0,101,1,1,Matches,2022-2023,Aston Villa
Jan Bednarek,pl POL,DF,26-341,1.1,66,64,2,2,0,0,0,0,0,0,0,0,60,0,1,Matches,2022-2023,Aston Villa
Ludwig Augustinsson,se SWE,DF,28-332,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0,Matches,2022-2023,Aston Villa
Jhon Durán,co COL,FW,19-096,0.8,21,19,2,0,0,0,1,1,0,0,0,0,12,0,0,Matches,2022-2023,Aston Villa
Bertrand Traoré,bf BFA,FW,27-194,0.6,22,21,1,0,0,0,3,0,1,1,0,0,15,0,4,Matches,2022-2023,Aston Villa
Cameron Archer,eng ENG,"FW,MF",21-241,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1,Matches,2022-2023,Aston Villa
Morgan Sanson,fr FRA,MF,28-213,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,2022-2023,Aston Villa
Squad Total,,,27.6,27.0,12723,11428,1251,384,35,79,414,505,108,61,17,4,10082,44,235,,2022-2023,Aston Villa
Opponent Total,,,27.1,27.0,13249,11923,1265,320,43,145,483,566,153,78,46,3,10502,61,282,,2022-2023,Aston Villa
Vicente Guaita,es ESP,GK,36-068,26.0,818,565,249,44,0,4,0,0,0,0,0,0,584,4,0,Matches,2022-2023,Crystal Palace
Marc Guéhi,eng ENG,DF,22-249,26.0,1442,1383,56,54,0,20,0,2,0,0,0,0,1245,3,10,Matches,2022-2023,Crystal Palace
Cheick Doucouré,ml MLI,MF,23-070,21.5,878,867,9,9,2,2,3,0,0,0,0,0,723,2,20,Matches,2022-2023,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,FW",30-086,21.6,724,684,36,11,1,1,13,23,0,0,0,0,545,4,17,Matches,2022-2023,Crystal Palace
Tyrick Mitchell,eng ENG,DF,23-199,21.1,1001,771,227,24,0,0,41,203,0,0,0,0,701,3,42,Matches,2022-2023,Crystal Palace
Wilfried Zaha,ci CIV,"FW,MF",30-129,21.5,514,495,17,5,2,1,25,3,0,0,0,0,402,2,18,Matches,2022-2023,Crystal Palace
Joachim Andersen,dk DEN,DF,26-292,21.4,1336,1243,88,78,2,30,6,8,1,0,0,0,1064,5,10,Matches,2022-2023,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",31-189,20.6,587,580,6,2,4,0,32,3,0,0,0,0,442,1,21,Matches,2022-2023,Crystal Palace
Michael Olise,fr FRA,"FW,MF",21-097,19.7,901,763,137,39,1,12,143,13,70,31,27,3,635,1,31,Matches,2022-2023,Crystal Palace
Eberechi Eze,eng ENG,"MF,FW",24-263,19.2,776,667,103,49,4,4,54,4,39,16,12,1,604,6,6,Matches,2022-2023,Crystal Palace
Nathaniel Clyne,eng ENG,DF,31-348,18.2,827,670,155,7,0,3,21,148,0,0,0,0,649,2,12,Matches,2022-2023,Crystal Palace
Joel Ward,eng ENG,DF,33-141,14.6,681,555,125,23,0,2,21,102,0,0,0,0,509,1,14,Matches,2022-2023,Crystal Palace
Odsonne Édouard,fr FRA,"FW,MF",25-062,13.5,292,276,14,0,0,0,4,0,0,0,0,0,211,2,9,Matches,2022-2023,Crystal Palace
Jean-Philippe Mateta,fr FRA,FW,25-264,7.7,134,128,6,0,0,0,1,0,0,0,0,0,92,0,8,Matches,2022-2023,Crystal Palace
Albert Sambi Lokonga,be BEL,MF,23-148,5.2,238,224,10,9,2,1,0,1,0,0,0,0,205,4,2,Matches,2022-2023,Crystal Palace
Will Hughes,eng ENG,MF,27-336,4.4,184,168,14,6,0,0,12,2,4,2,2,0,136,2,8,Matches,2022-2023,Crystal Palace
Chris Richards,us USA,DF,22-356,4.0,146,140,6,3,0,0,0,3,0,0,0,0,120,0,0,Matches,2022-2023,Crystal Palace
Luka Milivojević,rs SRB,MF,31-346,3.9,178,170,7,6,0,2,3,1,0,0,0,0,141,1,0,Matches,2022-2023,Crystal Palace
James Tomkins,eng ENG,DF,33-355,2.7,136,132,4,4,0,0,0,0,0,0,0,0,111,0,2,Matches,2022-2023,Crystal Palace
Joseph Whitworth,eng ENG,GK,19-018,1.0,46,35,11,3,0,0,0,0,0,0,0,0,34,0,0,Matches,2022-2023,Crystal Palace
Naouirou Ahamada,fr FRA,"MF,FW",20-355,0.9,45,44,1,0,0,0,2,0,0,0,0,0,37,0,0,Matches,2022-2023,Crystal Palace
Jaïro Riedewald,nl NED,"DF,FW",26-191,0.5,35,28,7,2,0,0,0,4,1,0,0,0,26,0,1,Matches,2022-2023,Crystal Palace
Malcolm Ebiowei,eng ENG,"MF,FW",19-196,0.4,10,10,0,0,0,0,3,0,0,0,0,0,5,0,2,Matches,2022-2023,Crystal Palace
James McArthur,sct SCO,MF,35-163,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches,2022-2023,Crystal Palace
David Ozoh,,FW,17-292,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,2022-2023,Crystal Palace
Squad Total,,,27.6,27.0,11940,10609,1288,378,18,82,384,520,115,49,41,4,9231,43,233,,2022-2023,Crystal Palace
Opponent Total,,,27.3,27.0,15446,14132,1265,357,35,102,522,569,129,59,40,6,12610,49,283,,2022-2023,Crystal Palace
Max Kilman,eng ENG,DF,25-300,28.0,1614,1586,21,21,0,18,2,0,0,0,0,0,1331,7,13,Matches,2022-2023,Wolverhampton Wanderers
José Sá,pt POR,GK,30-061,28.0,953,683,266,55,0,1,0,0,0,0,0,0,687,4,1,Matches,2022-2023,Wolverhampton Wanderers
Rúben Neves,pt POR,MF,26-006,26.6,1677,1568,104,85,5,22,28,9,4,2,1,0,1391,5,28,Matches,2022-2023,Wolverhampton Wanderers
Nélson Semedo,pt POR,DF,29-123,19.8,1005,846,156,2,4,1,38,154,0,0,0,0,814,3,20,Matches,2022-2023,Wolverhampton Wanderers
Matheus Nunes,pt POR,MF,24-204,18.8,714,688,24,12,3,24,28,5,7,3,3,0,561,2,19,Matches,2022-2023,Wolverhampton Wanderers
João Moutinho,pt POR,MF,36-192,18.4,976,864,108,52,7,6,50,3,29,9,11,0,790,4,16,Matches,2022-2023,Wolverhampton Wanderers
Daniel Podence,pt POR,"FW,MF",27-149,16.8,573,530,40,5,7,7,43,10,19,5,7,0,387,3,17,Matches,2022-2023,Wolverhampton Wanderers
Nathan Collins,ie IRL,DF,21-323,17.5,1006,981,22,16,0,8,0,6,0,0,0,0,891,3,4,Matches,2022-2023,Wolverhampton Wanderers
Jonny Castro,es ESP,DF,29-016,14.0,833,699,132,12,3,1,18,120,0,0,0,0,702,2,23,Matches,2022-2023,Wolverhampton Wanderers
Hugo Bueno,es ESP,DF,20-182,11.6,543,430,110,5,0,0,46,93,12,2,10,0,439,3,16,Matches,2022-2023,Wolverhampton Wanderers
Pedro Neto,pt POR,"FW,MF",23-010,8.2,302,270,32,9,0,3,52,2,21,10,6,0,226,0,10,Matches,2022-2023,Wolverhampton Wanderers
Adama Traoré,es ESP,"FW,MF",27-053,13.1,402,399,1,0,2,0,66,1,0,0,0,0,266,2,20,Matches,2022-2023,Wolverhampton Wanderers
Rayan Aït Nouri,fr FRA,DF,21-286,11.5,552,464,86,5,0,2,21,78,3,1,2,0,446,2,16,Matches,2022-2023,Wolverhampton Wanderers
Hwang Hee-chan,kr KOR,FW,27-052,7.9,176,169,6,0,0,0,7,3,0,0,0,0,132,1,5,Matches,2022-2023,Wolverhampton Wanderers
Diego Costa,es ESP,FW,34-163,7.9,110,105,5,1,0,0,5,0,0,0,0,0,80,0,8,Matches,2022-2023,Wolverhampton Wanderers
Gonçalo Guedes,pt POR,"FW,MF",26-110,7.9,201,182,19,2,0,4,27,2,14,3,8,2,138,0,8,Matches,2022-2023,Wolverhampton Wanderers
Craig Dawson,eng ENG,DF,32-317,7.5,466,453,12,9,0,1,0,3,0,0,0,0,393,1,1,Matches,2022-2023,Wolverhampton Wanderers
Mario Lemina,ga GAB,MF,29-199,6.6,318,315,3,3,0,3,1,0,0,0,0,0,278,0,5,Matches,2022-2023,Wolverhampton Wanderers
Raúl Jiménez,mx MEX,FW,31-318,8.3,172,154,18,0,1,1,5,4,0,0,0,0,123,0,4,Matches,2022-2023,Wolverhampton Wanderers
Pablo Sarabia,es ESP,"FW,MF",30-312,5.7,239,210,28,5,1,2,31,3,20,16,1,0,173,1,9,Matches,2022-2023,Wolverhampton Wanderers
Matheus Cunha,br BRA,FW,23-296,4.8,105,90,14,1,0,0,3,3,0,0,0,0,77,1,2,Matches,2022-2023,Wolverhampton Wanderers
